1981_6.pdf                                 | reqs:  1 | usable:  0 ( 0.0%) | reasons: LOW_USABLE_0.0%           | /skus/standalone/spec-review/406d1417-428d-5a90-b233-5607c993741d
78(a).pdf                                  | reqs:  7 | usable:  0 ( 0.0%) | reasons: LOW_USABLE_0.0%           | /skus/standalone/spec-review/0840fb2a-b876-5131-a31d-da793074568c
CLOTH DRILL COTTON 142 CM KHAKI.pdf        | reqs:  2 | usable:  0 ( 0.0%) | reasons: LOW_USABLE_0.0%           | /skus/standalone/spec-review/55cedd72-350d-57b6-8b75-b3b78be56ec6
CLOTH RIP POLYESTER.pdf                    | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/2b91e2f7-ed64-5754-86f4-ea06febbc9fa
CORD 200 KG WITH CORE.pdf                  | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/8724b243-dc32-5323-96c1-d97a1ea34721
CORD 2450N UD.pdf                          | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/e67c4cf4-081a-52d1-938b-6059060e43b9
CORD 250 KG CORELESS.pdf                   | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/6fee247e-72e5-5c88-a1d5-c3e8d9e800bc
CORD 250 KG HZP.pdf                        | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/bb61bc0b-8576-5abc-9f80-6424b5f05a3e
CORD 250KG  CORE.pdf                       | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/f313b605-5c7c-55f9-b4db-4541c0308444
CORD 3120 NBL OG.pdf                       | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/4286dcde-f1d6-535b-b86a-b12bbd309c1f
CORD 3120 OEF SPEC.pdf                     | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/b842d431-0b3b-58c4-b98e-7e5708380c43
CORD ELASTIC FLY INNER 4M2M.pdf            | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/23320eff-4ec1-593a-8231-9e56320e95f3
CORD ELASTIC LOOP 4M2M.pdf                 | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/a4ff9586-4f9d-5165-bcb6-b636287c4d72
CORD ELASTIC RING FOR FLY INNER 4M2M.pdf   | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/0d4cd237-f50e-5ab6-8f09-1ec1abbcb7bd
CORD ELASTIC RING HOOK.pdf                 | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/789e742f-b116-55c4-97ca-72acd52a3ae0
CORD NYLON 250 KGF.pdf                     | reqs: 12 | usable:  2 (16.7%) | reasons: LOW_USABLE_16.7%          | /skus/standalone/spec-review/cef6f56d-824f-5987-a366-0474880c9e77
CORD NYLON 3120 W.pdf                      | reqs:  0 | usable:  0 ( 0.0%) | reasons: ZERO_REQS                 | /skus/standalone/spec-review/d058d9c2-f0bc-5f45-9296-2af818e15529
CORD NYLON BRAIDED 1785.pdf                | reqs: 10 | usable:  1 (10.0%) | reasons: LOW_USABLE_10.0%          | /skus/standalone/spec-review/26d07bee-a61d-531f-ac88-381982b4f794
